Year,Hour,Minute,AM/PM,DAY,Deadpp,Totalpp,Bhurtpp,Shurtpp,Churtpp,Btype,Mtype,Type,Blaw,Law,Broad,Road,B1people,B2people,,,,,,,,
2017,2017062513,55,0,6,1,1,0,0,0,1,0,0,0,0,0,0,1,12,,,,,,,,
2017,2017062511,20,0,6,1,1,0,0,0,2,8,8,0,0,0,0,1,13,,,,,,,,
2017,2017062423,23,1,5,1,2,1,0,0,1,11,11,0,0,0,0,0,12,,,,,,,,
2017,2017062416,1,0,5,1,1,0,0,0,0,5,5,0,0,1,1,1,2,,,,,,,,
2017,2017062416,34,0,5,1,1,0,0,0,2,2,2,0,0,0,0,5,13,,,,,,,,
2017,2017062414,10,0,5,1,1,0,0,0,0,3,3,0,2,1,2,2,0,,,,,,,,
2017,2017062408,26,0,5,1,1,0,0,0,1,11,11,0,1,1,1,6,12,,,,,,,,
2017,2017062408,26,0,5,1,1,0,0,0,0,11,11,0,0,0,0,7,0,,,,,,,,
2017,2017062406,40,0,5,1,1,0,0,0,0,5,5,0,0,0,0,1,8,,,,,,,,
2017,2017062405,30,1,5,1,3,2,0,0,0,3,3,0,2,1,2,1,1,,,,,,,,
2017,2017062320,20,1,4,1,2,0,1,0,0,11,11,0,0,0,0,1,5,,,,,,,,
2017,2017062319,45,1,4,1,1,0,0,0,1,0,0,0,2,1,2,1,12,,,,,,,,
2017,2017062316,47,0,4,1,1,0,0,0,0,1,1,0,1,0,0,2,4,,,,,,,,
2017,2017062312,0,0,4,1,1,0,0,0,2,8,8,0,0,0,0,8,13,,,,,,,,
2017,2017062310,0,0,4,1,3,1,0,1,0,3,3,0,0,0,0,0,6,,,,,,,,
2017,2017062310,23,0,4,1,1,0,0,0,1,0,0,0,0,0,0,1,12,,,,,,,,
2017,2017062310,20,0,4,1,1,0,0,0,2,2,2,0,0,0,0,5,13,,,,,,,,
2017,2017062308,40,0,4,1,1,0,0,0,2,2,2,0,0,0,0,8,13,,,,,,,,
2017,2017062306,56,0,4,1,1,0,0,0,0,3,3,0,0,1,1,0,7,,,,,,,,
2017,2017062304,20,1,4,1,1,0,0,0,2,4,4,0,0,0,0,0,13,,,,,,,,
2017,2017062223,47,1,3,1,4,0,0,3,1,6,6,0,0,0,0,0,12,,,,,,,,
2017,2017062221,20,1,3,1,1,0,0,0,0,3,3,0,2,1,1,2,0,,,,,,,,
2017,2017062221,5,1,3,1,2,0,1,0,0,5,5,0,0,0,0,0,10,,,,,,,,
2017,2017062220,25,1,3,1,1,0,0,0,1,0,0,0,3,1,2,4,12,,,,,,,,
2017,2017062218,10,1,3,1,1,0,0,0,1,0,0,0,0,0,0,1,12,,,,,,,,
2017,2017062217,52,0,3,1,1,0,0,0,0,1,1,0,2,1,2,0,2,,,,,,,,
2017,2017062215,40,0,3,1,1,0,0,0,1,11,11,0,0,1,1,6,12,,,,,,,,
2017,2017062214,45,0,3,1,1,0,0,0,0,3,3,0,6,1,1,2,1,,,,,,,,
2017,2017062213,15,0,3,1,1,0,0,0,0,5,5,0,0,2,12,1,8,,,,,,,,
2017,2017062213,5,0,3,1,1,0,0,0,0,3,3,0,7,1,2,2,6,,,,,,,,
2017,2017062208,20,0,3,1,1,0,0,0,0,3,3,0,8,1,2,2,0,,,,,,,,
2017,2017062206,15,0,3,1,1,0,0,0,0,3,3,0,6,1,2,1,2,,,,,,,,
2017,2017062123,33,1,2,1,1,0,0,0,1,9,9,0,0,0,4,0,12,,,,,,,,
2017,2017062121,55,1,2,1,1,0,0,0,0,5,5,0,0,0,0,2,1,,,,,,,,
2017,2017062114,2,0,2,1,1,0,0,0,0,3,3,0,8,1,2,5,0,,,,,,,,
2017,2017062110,5,0,2,1,1,0,0,0,2,2,2,0,0,0,0,1,13,,,,,,,,
2017,2017062101,40,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017062101,5,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017062100,30,1,2,1,1,0,0,0,2,2,2,0,0,0,0,0,13,,,,,,,,
2017,2017062023,30,1,1,1,1,0,0,0,1,11,11,0,0,0,0,0,12,,,,,,,,
2017,2017062020,30,1,1,1,1,0,0,0,1,6,6,0,0,0,0,0,12,,,,,,,,
2017,2017062019,25,1,1,1,1,0,0,0,0,3,3,0,0,0,0,1,3,,,,,,,,
2017,2017062016,20,0,1,1,2,1,0,0,0,11,11,0,0,0,0,2,0,,,,,,,,
2017,2017062011,58,0,1,1,1,0,0,0,2,2,2,0,0,0,0,2,13,,,,,,,,
2017,2017062011,53,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017062010,40,0,1,1,1,0,0,0,2,4,4,0,0,0,0,0,13,,,,,,,,
2017,2017062009,55,0,1,1,1,0,0,0,1,11,11,0,0,1,2,1,12,,,,,,,,
2017,2017062009,45,0,1,1,1,0,0,0,0,3,3,0,7,1,3,2,1,,,,,,,,
2017,2017062008,40,0,1,1,2,1,0,0,0,3,3,0,0,1,3,4,3,,,,,,,,
2017,2017062006,40,0,1,1,1,0,0,0,0,3,3,0,0,1,2,8,0,,,,,,,,
2017,2017062005,19,1,1,1,1,0,0,0,1,0,0,0,9,1,2,0,12,,,,,,,,
2017,2017061923,20,1,0,1,3,2,0,0,2,4,4,0,0,2,12,0,13,,,,,,,,
2017,2017061922,55,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017061920,50,1,0,1,1,0,0,0,2,2,2,0,0,0,0,1,13,,,,,,,,
2017,2017061912,10,0,0,1,1,0,0,0,2,18,20,0,0,0,0,7,13,,,,,,,,
2017,2017061907,50,0,0,1,1,0,0,0,0,3,3,0,4,0,0,4,3,,,,,,,,
2017,2017061906,4,0,0,1,1,0,0,0,0,3,3,0,2,1,2,1,3,,,,,,,,
2017,2017061906,20,0,0,1,1,0,0,0,2,4,4,0,0,0,0,0,13,,,,,,,,
2017,2017061906,14,0,0,1,1,0,0,0,2,8,8,0,0,0,0,5,13,,,,,,,,
2017,2017061905,34,1,0,1,1,0,0,0,2,11,11,0,0,0,0,2,13,,,,,,,,
2017,2017061904,0,1,0,1,1,0,0,0,0,11,11,0,1,0,0,4,0,,,,,,,,
2017,2017061903,15,1,0,1,1,0,0,0,1,11,11,0,0,1,1,0,12,,,,,,,,
2017,2017061821,18,1,6,1,1,0,0,0,1,0,0,0,3,1,2,0,12,,,,,,,,
2017,2017061817,48,0,6,1,1,0,0,0,0,3,3,0,0,0,0,2,0,,,,,,,,
2017,2017061812,10,0,6,1,1,0,0,0,2,8,8,0,0,0,0,2,13,,,,,,,,
2017,2017061810,35,0,6,1,1,0,0,0,1,9,9,0,0,0,0,1,12,,,,,,,,
2017,2017061806,4,0,6,1,2,0,1,0,0,3,3,0,2,1,2,0,7,,,,,,,,
2017,2017061804,30,1,6,1,3,2,0,0,0,1,1,0,1,0,0,0,0,,,,,,,,
2017,2017061800,22,1,6,1,1,0,0,0,1,6,6,0,0,0,0,0,12,,,,,,,,
2017,2017061800,25,1,6,1,3,2,0,0,2,4,4,0,0,0,0,0,13,,,,,,,,
2017,2017061723,30,1,5,1,2,0,1,0,0,5,5,0,0,1,1,0,4,,,,,,,,
2017,2017061720,0,1,5,1,2,0,1,0,0,1,1,0,2,1,2,2,0,,,,,,,,
2017,2017061716,0,0,5,1,1,0,0,0,1,7,7,0,3,1,3,0,12,,,,,,,,
2017,2017061715,30,0,5,1,1,0,0,0,2,2,2,0,0,0,0,2,13,,,,,,,,
2017,2017061711,55,0,5,1,1,0,0,0,0,3,3,0,7,0,0,3,4,,,,,,,,
2017,2017061708,30,0,5,1,1,0,0,0,2,11,11,0,0,0,0,8,13,,,,,,,,
2017,2017061704,0,1,5,1,2,1,0,0,0,11,11,0,0,0,7,2,0,,,,,,,,
2017,2017061619,40,1,4,1,1,0,0,0,1,0,0,0,0,0,0,1,12,,,,,,,,
2017,2017061617,30,0,4,1,1,0,0,0,1,0,0,0,0,1,1,1,12,,,,,,,,
2017,2017061616,37,0,4,1,1,0,0,0,1,0,0,0,3,1,2,4,12,,,,,,,,
2017,2017061615,45,0,4,1,2,0,1,0,0,3,3,0,1,0,0,2,0,,,,,,,,
2017,2017061614,53,0,4,1,1,0,0,0,1,11,11,0,0,0,0,0,12,,,,,,,,
2017,2017061612,25,0,4,1,1,0,0,0,0,3,3,0,1,1,1,3,0,,,,,,,,
2017,2017061610,15,0,4,1,1,0,0,0,0,11,11,0,0,1,1,8,1,,,,,,,,
2017,2017061610,0,0,4,1,1,0,0,0,1,0,0,0,3,0,0,0,12,,,,,,,,
2017,2017061609,20,0,4,1,3,2,0,0,0,5,5,0,0,0,0,1,4,,,,,,,,
2017,2017061608,35,0,4,1,1,0,0,0,0,3,3,0,2,1,2,0,7,,,,,,,,
2017,2017061608,30,0,4,1,1,0,0,0,1,6,6,0,4,0,0,0,12,,,,,,,,
2017,2017061607,55,0,4,1,1,0,0,0,2,2,2,0,0,0,0,0,13,,,,,,,,
2017,2017061605,17,1,4,1,2,0,1,0,1,11,11,0,4,0,0,0,12,,,,,,,,
2017,2017061604,35,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017061600,52,1,4,1,1,0,0,0,1,11,11,0,0,0,0,0,12,,,,,,,,
2017,2017061600,19,1,4,2,9,3,3,1,0,5,5,0,4,0,0,0,0,,,,,,,,
2017,2017061523,23,1,3,1,1,0,0,0,1,11,11,0,0,0,0,0,12,,,,,,,,
2017,2017061523,20,1,3,1,1,0,0,0,2,2,2,0,0,0,0,3,13,,,,,,,,
2017,2017061521,5,1,3,1,3,2,0,0,0,5,5,0,0,0,0,0,1,,,,,,,,
2017,2017061520,30,1,3,1,1,0,0,0,1,11,11,0,0,1,2,0,12,,,,,,,,
2017,2017061520,31,1,3,1,1,0,0,0,1,0,0,0,0,0,0,1,12,,,,,,,,
2017,2017061520,30,1,3,1,1,0,0,0,2,2,2,0,0,0,0,2,13,,,,,,,,
2017,2017061516,10,0,3,1,10,2,7,0,0,5,5,0,0,0,0,1,1,,,,,,,,
2017,2017061515,20,0,3,1,1,0,0,0,1,0,0,0,0,1,1,4,12,,,,,,,,
2017,2017061515,25,0,3,1,1,0,0,0,1,7,7,0,9,0,0,4,12,,,,,,,,
2017,2017061515,5,0,3,1,1,0,0,0,1,0,0,0,0,1,2,4,12,,,,,,,,
2017,2017061514,57,0,3,1,1,0,0,0,0,3,3,0,0,0,0,5,0,,,,,,,,
2017,2017061513,45,0,3,1,1,0,0,0,1,0,0,0,3,0,0,0,12,,,,,,,,
2017,2017061513,55,0,3,1,1,0,0,0,1,0,0,0,2,1,2,1,12,,,,,,,,
2017,2017061503,48,1,3,1,1,0,0,0,2,18,21,0,0,0,0,2,13,,,,,,,,
2017,2017061503,30,1,3,1,1,0,0,0,1,0,0,0,0,1,2,0,12,,,,,,,,
2017,2017061502,38,1,3,1,1,0,0,0,1,6,6,0,0,0,0,0,12,,,,,,,,
2017,2017061417,50,0,2,1,1,0,0,0,2,18,20,0,0,0,0,7,13,,,,,,,,
2017,2017061417,55,0,2,1,3,1,1,0,2,4,4,0,0,0,0,1,13,,,,,,,,
2017,2017061416,25,0,2,1,1,0,0,0,2,2,2,0,0,0,0,8,13,,,,,,,,
2017,2017061415,37,0,2,1,3,2,0,0,0,1,1,0,1,0,0,1,1,,,,,,,,
2017,2017061412,40,0,2,1,2,0,1,0,0,3,3,0,1,0,0,0,1,,,,,,,,
2017,2017061412,47,0,2,1,1,0,0,0,1,11,11,0,0,1,2,4,12,,,,,,,,
2017,2017061410,0,0,2,1,1,0,0,0,1,9,9,0,0,0,0,0,12,,,,,,,,
2017,2017061406,40,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017061323,20,1,1,1,2,0,1,0,0,5,5,0,0,1,1,0,4,,,,,,,,
2017,2017061323,27,1,1,1,3,2,0,0,0,5,5,0,0,0,0,0,0,,,,,,,,
2017,2017061322,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017061320,11,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017061319,56,1,1,1,2,0,0,1,0,1,1,0,0,0,0,0,1,,,,,,,,
2017,2017061318,40,1,1,1,1,0,0,0,0,3,3,0,1,0,0,2,0,,,,,,,,
2017,2017061315,10,0,1,1,10,7,2,0,0,1,1,0,0,0,0,4,6,,,,,,,,
2017,2017061315,30,0,1,1,1,0,0,0,2,2,2,0,0,0,0,12,13,,,,,,,,
2017,2017061314,0,0,1,1,2,0,1,0,0,3,3,0,1,0,0,1,0,,,,,,,,
2017,2017061313,45,0,1,1,1,0,0,0,2,2,2,0,0,0,0,8,13,,,,,,,,
2017,2017061305,15,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,12,,,,,,,,
2017,2017061304,4,1,1,1,2,1,0,0,0,3,3,0,1,1,2,2,1,,,,,,,,
2017,2017061300,44,1,1,1,1,0,0,0,1,0,0,0,4,0,0,0,12,,,,,,,,
2017,2017061300,25,1,1,1,1,0,0,0,2,4,4,0,0,0,0,1,13,,,,,,,,
2017,2017061223,58,1,0,1,1,0,0,0,0,3,3,0,4,1,3,0,3,,,,,,,,
2017,2017061222,15,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,,,,,,,,
2017,2017061220,30,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,12,,,,,,,,
2017,2017061220,28,1,0,1,1,0,0,0,1,11,11,0,0,0,0,0,12,,,,,,,,
2017,2017061213,42,0,0,1,1,0,0,0,0,1,1,0,0,2,12,1,3,,,,,,,,
2017,2017061211,20,0,0,1,2,1,0,0,0,5,5,0,0,0,0,1,1,,,,,,,,
2017,2017061210,30,0,0,1,1,0,0,0,1,0,0,0,3,1,3,0,12,,,,,,,,
2017,2017061210,58,0,0,1,1,0,0,0,2,2,2,0,0,0,0,2,13,,,,,,,,
2017,2017061208,7,0,0,1,1,0,0,0,0,3,3,0,0,1,2,2,1,,,,,,,,
2017,2017061208,29,0,0,1,1,0,0,0,0,3,3,0,1,0,0,7,0,,,,,,,,
2017,2017061202,35,1,0,1,2,0,1,0,1,11,11,0,4,0,0,0,12,,,,,,,,
2017,2017061117,31,0,6,1,1,0,0,0,0,11,11,0,4,0,0,2,4,,,,,,,,
2017,2017061115,5,0,6,1,1,0,0,0,0,3,3,0,7,1,2,3,4,,,,,,,,
2017,2017061113,7,0,6,1,1,0,0,0,0,3,3,0,0,0,0,0,2,,,,,,,,
2017,2017061108,17,0,6,1,1,0,0,0,0,3,3,0,0,0,0,0,7,,,,,,,,
2017,2017061107,28,0,6,1,1,0,0,0,0,3,3,0,2,1,2,1,0,,,,,,,,
2017,2017061023,55,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017061021,14,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017061020,30,1,5,1,1,0,0,0,1,11,11,0,0,0,0,0,12,,,,,,,,
2017,2017061015,40,0,5,1,1,0,0,0,1,11,11,0,4,0,0,0,12,,,,,,,,
2017,2017061013,55,0,5,1,1,0,0,0,2,8,8,0,0,0,0,2,13,,,,,,,,
2017,2017061011,40,0,5,1,1,0,0,0,1,11,11,0,0,0,0,0,12,,,,,,,,
2017,2017061009,30,0,5,1,1,0,0,0,0,3,3,0,2,1,2,9,1,,,,,,,,
2017,2017061006,25,0,5,1,1,0,0,0,0,3,3,0,2,0,0,0,3,,,,,,,,
2017,2017061003,28,1,5,1,1,0,0,0,2,8,8,0,0,0,0,0,13,,,,,,,,
2017,2017061003,0,1,5,1,2,1,0,0,2,4,4,0,0,0,0,0,13,,,,,,,,
2017,2017061002,45,1,5,1,1,0,0,0,1,11,11,0,0,0,0,0,12,,,,,,,,
2017,2017061002,5,1,5,1,1,0,0,0,0,5,5,0,0,1,2,0,2,,,,,,,,
2017,2017060920,50,1,4,1,1,0,0,0,1,0,0,0,0,1,1,0,12,,,,,,,,
2017,2017060918,45,1,4,1,1,0,0,0,2,2,2,0,0,0,0,7,13,,,,,,,,
2017,2017060917,5,0,4,1,4,3,0,0,0,1,1,0,1,0,0,0,1,,,,,,,,
2017,2017060915,40,0,4,1,2,0,1,0,0,1,1,0,1,0,0,0,0,,,,,,,,
2017,2017060914,30,0,4,1,1,0,0,0,1,7,7,0,1,0,0,9,12,,,,,,,,
2017,2017060910,30,0,4,1,2,1,0,0,0,3,3,0,0,1,1,2,1,,,,,,,,
2017,2017060907,50,0,4,1,1,0,0,0,1,0,0,0,0,0,0,1,12,,,,,,,,
2017,2017060901,20,1,4,1,1,0,0,0,0,3,3,0,2,1,2,2,0,,,,,,,,
2017,2017060820,55,1,3,1,1,0,0,0,2,2,2,0,0,0,0,2,13,,,,,,,,
2017,2017060816,38,0,3,1,1,0,0,0,1,0,0,0,4,1,2,0,12,,,,,,,,
2017,2017060815,13,0,3,1,1,0,0,0,2,18,20,0,0,0,0,8,13,,,,,,,,
2017,2017060815,20,0,3,1,1,0,0,0,1,11,11,0,0,0,0,1,12,,,,,,,,
2017,2017060805,12,1,3,1,3,1,1,0,2,11,11,0,0,0,0,2,13,,,,,,,,
2017,2017060801,8,1,3,1,2,1,0,0,2,4,4,0,4,0,0,0,13,,,,,,,,
2017,2017060723,50,1,2,1,2,1,0,0,0,3,3,0,0,0,0,0,2,,,,,,,,
2017,2017060722,0,1,2,1,1,0,0,0,2,4,4,0,0,0,0,0,13,,,,,,,,
2017,2017060721,35,1,2,1,1,0,0,0,1,0,0,0,0,1,2,0,12,,,,,,,,
2017,2017060720,18,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,12,,,,,,,,
2017,2017060717,0,0,2,1,1,0,0,0,0,5,5,0,0,1,1,7,1,,,,,,,,
2017,2017060714,10,0,2,1,1,0,0,0,1,0,0,0,0,1,1,0,12,,,,,,,,
2017,2017060711,0,0,2,1,4,2,1,0,0,1,1,0,1,0,0,0,4,,,,,,,,
2017,2017060702,4,1,2,1,1,0,0,0,0,11,11,0,0,0,0,0,2,,,,,,,,
2017,2017060621,30,1,1,1,1,0,0,0,1,0,0,0,2,0,0,0,12,,,,,,,,
2017,2017060613,52,0,1,1,1,0,0,0,2,11,11,0,0,1,1,1,13,,,,,,,,
2017,2017060610,35,0,1,1,1,0,0,0,0,5,5,0,0,0,0,1,1,,,,,,,,
2017,2017060607,48,0,1,1,3,0,2,0,0,1,1,0,4,0,0,0,0,,,,,,,,
2017,2017060603,55,1,1,1,1,0,0,0,1,0,0,0,0,1,2,1,12,,,,,,,,
2017,2017060601,50,1,1,2,2,0,0,0,1,6,6,0,4,0,4,4,12,,,,,,,,
2017,2017060521,10,1,0,1,2,0,1,0,0,5,5,0,1,0,0,1,1,,,,,,,,
2017,2017060520,42,1,0,1,1,0,0,0,1,0,0,0,0,0,0,4,12,,,,,,,,
2017,2017060519,53,1,0,1,1,0,0,0,2,8,8,0,0,1,1,4,13,,,,,,,,
2017,2017060518,28,1,0,1,6,0,5,0,0,5,5,0,0,0,0,1,0,,,,,,,,
2017,2017060516,5,0,0,1,1,0,0,0,1,7,7,0,0,0,0,1,12,,,,,,,,
2017,2017060513,10,0,0,1,2,1,0,0,1,0,0,0,9,0,0,0,12,,,,,,,,
2017,2017060513,33,0,0,1,1,0,0,0,2,2,2,0,0,0,0,1,13,,,,,,,,
2017,2017060509,25,0,0,1,1,0,0,0,0,11,11,0,4,1,2,1,2,,,,,,,,
2017,2017060509,30,0,0,1,1,0,0,0,2,2,2,0,0,2,12,2,13,,,,,,,,
2017,2017060508,10,0,0,1,1,0,0,0,2,2,2,0,0,0,0,1,13,,,,,,,,
2017,2017060507,7,0,0,1,1,0,0,0,1,11,11,0,0,2,12,6,12,,,,,,,,
2017,2017060501,35,1,0,1,1,0,0,0,1,11,11,0,0,0,0,0,12,,,,,,,,
2017,2017060419,55,1,6,1,1,0,0,0,0,1,1,0,1,1,1,7,0,,,,,,,,
2017,2017060418,30,1,6,1,1,0,0,0,2,2,2,0,0,0,0,2,13,,,,,,,,
2017,2017060417,10,0,6,1,2,1,0,0,0,1,1,0,1,1,1,2,0,,,,,,,,
2017,2017060415,0,0,6,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017060415,1,0,6,1,2,0,1,0,0,5,5,0,0,0,0,0,0,,,,,,,,
2017,2017060414,29,0,6,1,1,0,0,0,1,6,6,0,0,0,0,6,12,,,,,,,,
2017,2017060414,48,0,6,1,1,0,0,0,1,6,6,0,0,0,0,0,12,,,,,,,,
2017,2017060413,45,0,6,1,3,1,1,0,0,5,5,0,0,1,1,2,2,,,,,,,,
2017,2017060412,10,0,6,1,1,0,0,0,2,8,8,0,0,1,2,0,13,,,,,,,,
2017,2017060411,50,0,6,1,1,0,0,0,2,2,2,0,0,0,0,2,13,,,,,,,,
2017,2017060410,55,0,6,1,1,0,0,0,2,2,2,0,0,0,0,2,13,,,,,,,,
