발생년,발생년0일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2017,2017062815,28,0,2,1,3,2,0,0,세종,세종,0,5,5,0,0,0,0,1,1,1,1,980823,1826787,127.2860334,36.43845
2017,2017062813,0,0,2,1,1,0,0,0,강원,춘천시,2,18,20,0,0,0,0,5,5,13,13,1019108,1979745,127.7170998,37.81724081
2017,2017062808,2,0,2,1,2,1,0,0,경기,화성시,0,3,3,0,8,1,2,0,0,8,8,944517,1906462,126.8751586,37.15524376
2017,2017062808,40,0,2,1,1,0,0,0,경북,의성군,0,11,11,0,1,0,0,0,0,2,2,1096836,1819881,128.5794987,36.37150448
2017,2017062800,15,1,2,1,2,1,0,0,충북,충주시,0,11,11,0,2,1,2,0,0,7,7,1037990,1884735,127.9267457,36.96026952
2017,2017062722,30,1,1,1,1,0,0,0,서울,서초구,1,0,0,0,0,0,0,0,0,12,12,958918,1941952,127.03537,37.47588234
2017,2017062721,10,1,1,1,1,0,0,0,충남,금산군,1,0,0,0,0,2,12,0,0,12,12,999139,1790031,127.4904339,36.10726645
2017,2017062717,0,0,1,1,2,0,1,0,경남,밀양시,0,11,11,0,0,0,0,0,0,8,8,1113780,1720802,128.7541635,35.47656351
2017,2017062716,15,0,1,1,3,0,2,0,경북,김천시,0,3,3,0,6,1,2,2,2,4,4,1061533,1802309,128.1845987,36.21600336
2017,2017062716,46,0,1,1,2,0,1,0,경기,고양시,0,11,11,0,1,1,1,0,0,1,1,938291,1970006,126.7997296,37.72758094
2017,2017062715,50,0,1,1,1,0,0,0,경남,고성군,2,2,2,0,0,0,0,0,0,13,13,1068170,1665999,128.2469261,34.98661961
2017,2017062715,30,0,1,1,1,0,0,0,충남,아산시,1,0,0,0,2,1,2,1,1,12,12,944802,1876074,126.8805955,36.8813471
2017,2017062712,23,0,1,1,1,0,0,0,인천,서구,1,11,11,0,4,0,0,1,1,12,12,923649,1951447,126.6355293,37.55921546
2017,2017062712,30,0,1,1,3,0,2,0,전북,군산시,0,3,3,0,2,1,2,0,0,0,0,914205,1773436,126.5486395,35.95387729
2017,2017062711,20,0,1,1,4,0,3,0,대전,대덕구,0,5,5,0,0,0,0,1,1,1,1,992165,1821185,127.4126377,36.38810597
2017,2017062704,41,1,1,1,1,0,0,0,전남,목포시,1,0,0,0,3,0,0,0,0,12,12,897093,1643465,126.3752929,34.78051834
2017,2017062703,32,1,1,1,1,0,0,0,경기,파주시,2,2,2,0,0,0,0,2,2,13,13,929511,1969714,126.7001313,37.72431538
2017,2017062622,10,1,0,1,1,0,0,0,경남,진주시,1,11,11,0,0,1,2,4,4,12,12,1053420,1688621,128.0867808,35.1914851
2017,2017062621,5,1,0,1,1,0,0,0,경남,김해시,0,3,3,0,2,1,2,2,2,1,1,1123817,1694190,128.8607407,35.23547324
2017,2017062620,5,1,0,1,4,2,1,0,경북,영천시,0,3,3,0,0,0,0,4,4,8,8,1125414,1778675,128.891417,35.9968123
2017,2017062619,0,1,0,1,1,0,0,0,부산,북구,1,0,0,0,0,0,0,1,1,12,12,1137980,1691536,129.0158949,35.20971594
2017,2017062616,13,0,0,1,1,0,0,0,강원,평창군,2,12,12,0,0,0,0,5,5,13,13,1071342,1938590,128.3080172,37.4358239
2017,2017062614,38,0,0,1,2,1,0,0,충남,금산군,0,11,11,0,0,0,0,0,0,0,0,999462,1795479,127.4940189,36.15638447
2017,2017062612,15,0,0,1,1,0,0,0,전남,나주시,2,4,4,0,0,0,0,0,0,13,13,943291,1667504,126.8785402,35.00089764
2017,2017062611,15,0,0,1,4,1,2,0,서울,중구,0,11,11,0,0,0,0,4,4,3,3,956705,1950843,127.0098183,37.55591863
2017,2017062609,0,0,0,2,3,1,0,0,전북,고창군,0,1,1,0,1,0,0,0,0,1,1,915955,1727488,126.5728589,35.53980212
2017,2017062523,17,1,6,1,2,1,0,0,광주,서구,1,0,0,0,4,1,1,2,2,12,12,942791,1683661,126.8723236,35.14653856
2017,2017062520,50,1,6,1,1,0,0,0,대전,대덕구,1,0,0,0,0,1,3,0,0,12,12,991761,1817790,127.4081689,36.35749541
2017,2017062515,45,0,6,1,1,0,0,0,경남,합천군,2,8,8,0,0,0,0,1,1,13,13,1060268,1734888,128.165416,35.6082516
2017,2017062513,51,0,6,1,1,0,0,0,전남,여수시,0,5,5,0,0,0,0,2,2,0,0,1010706,1647988,127.6170772,34.82644521
2017,2017062513,55,0,6,1,1,0,0,0,경기,시흥시,1,0,0,0,0,0,0,1,1,12,12,934106,1928147,126.7560002,37.35002074
2017,2017062511,20,0,6,1,1,0,0,0,전북,무주군,2,8,8,0,0,0,0,1,1,13,13,1019989,1779787,127.7218265,36.01470331
2017,2017062423,23,1,5,1,2,1,0,0,인천,계양구,1,11,11,0,0,0,0,0,0,12,12,932286,1948076,126.7335012,37.52911146
2017,2017062416,1,0,5,1,1,0,0,0,경남,함양군,0,5,5,0,0,1,1,1,1,2,2,1027818,1736311,127.8071935,35.62252778
2017,2017062416,34,0,5,1,1,0,0,0,경북,안동시,2,2,2,0,0,0,0,5,5,13,13,1101824,1844161,128.6382907,36.58983546
2017,2017062414,10,0,5,1,1,0,0,0,경남,밀양시,0,3,3,0,2,1,2,2,2,0,0,1110701,1710015,128.7187655,35.37966925
2017,2017062408,26,0,5,1,1,0,0,0,강원,인제군,1,11,11,0,1,1,1,6,6,12,12,1061463,2024127,128.2021095,38.21535054
2017,2017062408,26,0,5,1,1,0,0,0,부산,사하구,0,11,11,0,0,0,0,7,7,0,0,1135902,1676049,128.9905354,35.07038804
2017,2017062406,40,0,5,1,1,0,0,0,경남,진주시,0,5,5,0,0,0,0,1,1,8,8,1054428,1681234,128.0973653,35.12482448
2017,2017062405,30,1,5,1,3,2,0,0,강원,원주시,0,3,3,0,2,1,2,1,1,1,1,1039135,1930639,127.9449419,37.37732113
2017,2017062320,20,1,4,1,2,0,1,0,강원,철원군,0,11,11,0,0,0,0,1,1,5,5,977386,2026216,127.2415995,38.23599299
2017,2017062319,45,1,4,1,1,0,0,0,서울,강동구,1,0,0,0,2,1,2,1,1,12,12,967765,1950338,127.135058,37.55182032
2017,2017062316,47,0,4,1,1,0,0,0,대구,달성군,0,1,1,0,1,0,0,2,2,4,4,1089114,1756242,128.4862361,35.79857966
2017,2017062312,0,0,4,1,1,0,0,0,대구,달성군,2,8,8,0,0,0,0,8,8,13,13,1089390,1738232,128.4872853,35.63619398
2017,2017062310,0,0,4,1,3,1,0,1,울산,북구,0,3,3,0,0,0,0,0,0,6,6,1166347,1742939,129.337923,35.66865073
2017,2017062310,23,0,4,1,1,0,0,0,충남,홍성군,1,0,0,0,0,0,0,1,1,12,12,933108,1846778,126.7519484,36.61651544
2017,2017062310,20,0,4,1,1,0,0,0,경기,양평군,2,2,2,0,0,0,0,5,5,13,13,984525,1949289,127.3248238,37.5427991
2017,2017062308,40,0,4,1,1,0,0,0,경북,김천시,2,2,2,0,0,0,0,8,8,13,13,1045312,1793750,128.0036418,36.13973752
2017,2017062306,56,0,4,1,1,0,0,0,경기,안양시,0,3,3,0,0,1,1,0,0,7,7,951810,1931162,126.9556875,37.37828463
2017,2017062304,20,1,4,1,1,0,0,0,강원,정선군,2,4,4,0,0,0,0,0,0,13,13,1119112,1941406,128.8468967,37.4641976
2017,2017062223,47,1,3,1,4,0,0,3,서울,용산구,1,6,6,0,0,0,0,0,0,12,12,951811,1947377,126.9546387,37.52443586
2017,2017062221,20,1,3,1,1,0,0,0,경북,구미시,0,3,3,0,2,1,1,2,2,0,0,1076365,1794864,128.3488761,36.14783137
2017,2017062221,5,1,3,1,2,0,1,0,경기,이천시,0,5,5,0,0,0,0,0,0,10,10,998175,1920718,127.4794117,37.28539403
2017,2017062220,25,1,3,1,1,0,0,0,부산,부산진구,1,0,0,0,3,1,2,4,4,12,12,1142004,1685218,129.0590068,35.15218971
2017,2017062218,10,1,3,1,1,0,0,0,경기,광명시,1,0,0,0,0,0,0,1,1,12,12,945925,1939433,126.8886132,37.45250888
2017,2017062217,52,0,3,1,1,0,0,0,서울,송파구,0,1,1,0,2,1,2,0,0,2,2,967141,1944824,127.1282404,37.5020982
2017,2017062215,40,0,3,1,1,0,0,0,경기,평택시,1,11,11,0,0,1,1,6,6,12,12,964623,1894550,127.1021449,37.0488458
2017,2017062214,45,0,3,1,1,0,0,0,전북,남원시,0,3,3,0,6,1,1,2,2,1,1,974940,1709537,127.2240895,35.38119148
2017,2017062213,15,0,3,1,1,0,0,0,경북,의성군,0,5,5,0,0,2,12,1,1,8,8,1106621,1816132,128.6880451,36.33667766
2017,2017062213,5,0,3,1,1,0,0,0,경남,김해시,0,3,3,0,7,1,2,2,2,6,6,1122693,1692591,128.8481526,35.22119713
2017,2017062208,20,0,3,1,1,0,0,0,경남,함안군,0,3,3,0,8,1,2,2,2,0,0,1083045,1706269,128.4139456,35.34858387
2017,2017062206,15,0,3,1,1,0,0,0,제주,서귀포시,0,3,3,0,6,1,2,1,1,2,2,912706,1473963,126.5628612,33.25346381
2017,2017062123,33,1,2,1,1,0,0,0,경북,경산시,1,9,9,0,0,0,4,0,0,12,12,1119597,1769461,128.8255072,35.91449224
2017,2017062121,55,1,2,1,1,0,0,0,서울,중구,0,5,5,0,0,0,0,2,2,1,1,957011,1951843,127.0132241,37.56494621
2017,2017062114,2,0,2,1,1,0,0,0,전북,정읍시,0,3,3,0,8,1,2,5,5,0,0,949955,1744551,126.9468502,35.69594408
2017,2017062110,5,0,2,1,1,0,0,0,충북,제천시,2,2,2,0,0,0,0,1,1,13,13,1063616,1897512,128.2156683,37.07405423
2017,2017062101,40,1,2,1,1,0,0,0,서울,광진구,1,0,0,0,0,0,0,0,0,12,12,962289,1949613,127.0731013,37.54507777
2017,2017062101,5,1,2,1,1,0,0,0,서울,서초구,1,0,0,0,0,0,0,0,0,12,12,957862,1945076,127.0232483,37.50399254
2017,2017062100,30,1,2,1,1,0,0,0,경기,화성시,2,2,2,0,0,0,0,0,0,13,13,947929,1897303,126.9142185,37.07288287
2017,2017062023,30,1,1,1,1,0,0,0,충북,청주시,1,11,11,0,0,0,0,0,0,12,12,989391,1848163,127.3813362,36.6312902
2017,2017062020,30,1,1,1,1,0,0,0,경북,경산시,1,6,6,0,0,0,0,0,0,12,12,1119418,1769011,128.8234562,35.91045798
2017,2017062019,25,1,1,1,1,0,0,0,경북,상주시,0,3,3,0,0,0,0,1,1,3,3,1055465,1820441,128.1183805,36.37982994
2017,2017062016,20,0,1,1,2,1,0,0,부산,남구,0,11,11,0,0,0,0,2,2,0,0,1145882,1683032,129.1011812,35.13193054
2017,2017062011,58,0,1,1,1,0,0,0,경남,합천군,2,2,2,0,0,0,0,2,2,13,13,1058185,1730264,128.142086,35.56668644
2017,2017062011,53,0,1,1,1,0,0,0,서울,용산구,1,0,0,0,0,0,0,0,0,12,12,952936,1947426,126.9673669,37.52493562
2017,2017062010,40,0,1,1,1,0,0,0,강원,삼척시,2,4,4,0,0,0,0,0,0,13,13,1152956,1931798,129.2274667,37.37265189
2017,2017062009,55,0,1,1,1,0,0,0,강원,강릉시,1,11,11,0,0,1,2,1,1,12,12,1123461,1972933,128.9014138,37.74766803
2017,2017062009,45,0,1,1,1,0,0,0,경남,양산시,0,3,3,0,7,1,3,2,2,1,1,1136489,1701207,129.001131,35.29707855
2017,2017062008,40,0,1,1,2,1,0,0,서울,송파구,0,3,3,0,0,1,3,4,4,3,3,965808,1944341,127.1131819,37.49769627
2017,2017062006,40,0,1,1,1,0,0,0,제주,제주시,0,3,3,0,0,1,2,8,8,0,0,929429,1507089,126.7397768,33.5534504
2017,2017062005,19,1,1,1,1,0,0,0,대구,서구,1,0,0,0,9,1,2,0,0,12,12,1095325,1764744,128.5559792,35.87463881
2017,2017061923,20,1,0,1,3,2,0,0,대구,달서구,2,4,4,0,0,2,12,0,0,13,13,1093027,1762246,128.530235,35.85234119
2017,2017061922,55,1,0,1,1,0,0,0,경북,영덕군,1,0,0,0,0,0,0,0,0,12,12,1168829,1818201,129.3815947,36.34553403
2017,2017061920,50,1,0,1,1,0,0,0,경기,여주시,2,2,2,0,0,0,0,1,1,13,13,1021599,1919439,127.7436262,37.27361622
2017,2017061912,10,0,0,1,1,0,0,0,경북,경산시,2,18,20,0,0,0,0,7,7,13,13,1111916,1751495,128.7378778,35.75345483
2017,2017061907,50,0,0,1,1,0,0,0,경북,구미시,0,3,3,0,4,0,0,4,4,3,3,1076283,1806019,128.3490499,36.2483963
2017,2017061906,4,0,0,1,1,0,0,0,광주,광산구,0,3,3,0,2,1,2,1,1,3,3,935838,1682195,126.7956847,35.13290201
2017,2017061906,20,0,0,1,1,0,0,0,전남,장성군,2,4,4,0,0,0,0,0,0,13,13,930124,1695032,126.7320049,35.24826222
2017,2017061906,14,0,0,1,1,0,0,0,충남,아산시,2,8,8,0,0,0,0,5,5,13,13,950621,1867960,126.946418,36.80852793
2017,2017061905,34,1,0,1,1,0,0,0,부산,사하구,2,11,11,0,0,0,0,2,2,13,13,1134833,1673624,128.9773482,35.06207408
2017,2017061904,0,1,0,1,1,0,0,0,경기,성남시,0,11,11,0,1,0,0,4,4,0,0,969745,1937412,127.1580055,37.43537878
2017,2017061903,15,1,0,1,1,0,0,0,전북,전주시,1,11,11,0,0,1,1,0,0,12,12,965976,1756631,127.1234141,35.80554232
2017,2017061821,18,1,6,1,1,0,0,0,경북,청도군,1,0,0,0,3,1,2,0,0,12,12,1111553,1740030,128.7322721,35.65014715
2017,2017061817,48,0,6,1,1,0,0,0,충북,청주시,0,3,3,0,0,0,0,2,2,0,0,1003715,1837737,127.5415027,36.53735104
2017,2017061812,10,0,6,1,1,0,0,0,강원,인제군,2,8,8,0,0,0,0,2,2,13,13,1077439,2025056,128.3846912,38.22248893
2017,2017061810,35,0,6,1,1,0,0,0,경북,청도군,1,9,9,0,0,0,0,1,1,12,12,1135555,1761087,129.0008956,35.83693474
2017,2017061806,4,0,6,1,2,0,1,0,경북,포항시,0,3,3,0,2,1,2,0,0,7,7,1169245,1787803,129.3794534,36.07244077
2017,2017061804,30,1,6,1,3,2,0,0,서울,영등포구,0,1,1,0,1,0,0,0,0,0,0,947537,1948280,126.9062071,37.53234148
2017,2017061800,22,1,6,1,1,0,0,0,서울,마포구,1,6,6,0,0,0,0,0,0,12,12,946211,1951382,126.8909723,37.56022366
2017,2017061800,25,1,6,1,3,2,0,0,전남,영광군,2,4,4,0,0,0,0,0,0,13,13,903889,1710389,126.4417931,35.38455441
2017,2017061723,30,1,5,1,2,0,1,0,광주,북구,0,5,5,0,0,1,1,0,0,4,4,944841,1693600,126.8937848,35.23628478
2017,2017061720,0,1,5,1,2,0,1,0,충북,청주시,0,1,1,0,2,1,2,2,2,0,0,999457,1847485,127.4939269,36.62523697
2017,2017061716,0,0,5,1,1,0,0,0,전북,전주시,1,7,7,0,3,1,3,0,0,12,12,964984,1759959,127.1122887,35.8355127
2017,2017061715,30,0,5,1,1,0,0,0,경북,영주시,2,2,2,0,0,0,0,2,2,13,13,1101622,1865874,128.6389155,36.78555894
2017,2017061711,55,0,5,1,1,0,0,0,서울,강서구,0,3,3,0,7,0,0,3,3,4,4,939664,1952626,126.8167459,37.5710301
2017,2017061708,30,0,5,1,1,0,0,0,경북,청도군,2,11,11,0,0,0,0,8,8,13,13,1111319,1742800,128.7300707,35.67514337
2017,2017061704,0,1,5,1,2,1,0,0,서울,도봉구,0,11,11,0,0,0,7,2,2,0,0,960377,1960790,127.0508525,37.64573856
2017,2017061619,40,1,4,1,1,0,0,0,충남,당진시,1,0,0,0,0,0,0,1,1,12,12,918767,1880564,126.5879903,36.91993572
2017,2017061617,30,0,4,1,1,0,0,0,광주,서구,1,0,0,0,0,1,1,1,1,12,12,941136,1685803,126.8534804,35.16574582
2017,2017061616,37,0,4,1,1,0,0,0,경기,부천시,1,0,0,0,3,1,2,4,4,12,12,935445,1945953,126.7695597,37.51060105
2017,2017061615,45,0,4,1,2,0,1,0,대구,수성구,0,3,3,0,1,0,0,2,2,0,0,1101015,1757783,128.6181196,35.8113186
2017,2017061614,53,0,4,1,1,0,0,0,서울,용산구,1,11,11,0,0,0,0,0,0,12,12,956427,1947971,127.0068415,37.53001942
2017,2017061612,25,0,4,1,1,0,0,0,인천,계양구,0,3,3,0,1,1,1,3,3,0,0,933381,1951082,126.7457419,37.55668114
2017,2017061610,15,0,4,1,1,0,0,0,경북,봉화군,0,11,11,0,0,1,1,8,8,1,1,1117287,1876890,128.8161399,36.88302816
2017,2017061610,0,0,4,1,1,0,0,0,경기,고양시,1,0,0,0,3,0,0,0,0,12,12,947182,1968836,126.9007036,37.71759207
2017,2017061609,20,0,4,1,3,2,0,0,전남,영암군,0,5,5,0,0,0,0,1,1,4,4,898309,1638614,126.3894076,34.73604706
2017,2017061608,35,0,4,1,1,0,0,0,대전,서구,0,3,3,0,2,1,2,0,0,7,7,985159,1811298,127.3347076,36.29888815
2017,2017061608,30,0,4,1,1,0,0,0,경북,포항시,1,6,6,0,4,0,0,0,0,12,12,1169369,1783717,129.3799536,36.03560025
2017,2017061607,55,0,4,1,1,0,0,0,전북,익산시,2,2,2,0,0,0,0,0,0,13,13,951463,1771220,126.9615549,35.93662505
2017,2017061605,17,1,4,1,2,0,1,0,경기,부천시,1,11,11,0,4,0,0,0,0,12,12,938863,1944201,126.8083774,37.49504309
2017,2017061604,35,1,4,1,1,0,0,0,부산,사상구,1,0,0,0,0,0,0,0,0,12,12,1135134,1686419,128.9838034,35.16396265
2017,2017061600,52,1,4,1,1,0,0,0,서울,구로구,1,11,11,0,0,0,0,0,0,12,12,943326,1945405,126.8587701,37.50617965
2017,2017061600,19,1,4,2,9,3,3,1,경기,성남시,0,5,5,0,4,0,0,0,0,0,0,968209,1940478,127.140511,37.46296287
2017,2017061523,23,1,3,1,1,0,0,0,충남,예산군,1,11,11,0,0,0,0,0,0,12,12,931036,1854607,126.7280751,36.68693943
2017,2017061523,20,1,3,1,1,0,0,0,충남,홍성군,2,2,2,0,0,0,0,3,3,13,13,929778,1851819,126.7142509,36.66171608
2017,2017061521,5,1,3,1,3,2,0,0,대구,달서구,0,5,5,0,0,0,0,0,0,1,1,1091783,1759179,128.5161075,35.82481024
2017,2017061520,30,1,3,1,1,0,0,0,충북,제천시,1,11,11,0,0,1,2,0,0,12,12,1059019,1903674,128.1644411,37.1298972
2017,2017061520,31,1,3,1,1,0,0,0,경북,청도군,1,0,0,0,0,0,0,1,1,12,12,1101221,1738966,128.6180263,35.64166907
2017,2017061520,30,1,3,1,1,0,0,0,전북,남원시,2,2,2,0,0,0,0,2,2,13,13,989227,1711915,127.3813574,35.40289033
2017,2017061516,10,0,3,1,10,2,7,0,대전,유성구,0,5,5,0,0,0,0,1,1,1,1,984343,1821655,127.3254111,36.39224754
2017,2017061515,20,0,3,1,1,0,0,0,충북,청주시,1,0,0,0,0,1,1,4,4,12,12,988948,1851819,127.3763285,36.66424379
2017,2017061515,25,0,3,1,1,0,0,0,서울,금천구,1,7,7,0,9,0,0,4,4,12,12,947218,1937937,126.9023081,37.43946592
2017,2017061515,5,0,3,1,1,0,0,0,충남,천안시,1,0,0,0,0,1,2,4,4,12,12,968739,1866967,127.149573,36.8003485
2017,2017061514,57,0,3,1,1,0,0,0,전남,진도군,0,3,3,0,0,0,0,5,5,0,0,882175,1606167,126.2175095,34.44267477
2017,2017061513,45,0,3,1,1,0,0,0,광주,북구,1,0,0,0,3,0,0,0,0,12,12,946424,1687897,126.9115528,35.18494871
2017,2017061513,55,0,3,1,1,0,0,0,경기,가평군,1,0,0,0,2,1,2,1,1,12,12,1000568,1982319,127.5064555,37.84064057
2017,2017061503,48,1,3,1,1,0,0,0,인천,강화군,2,18,21,0,0,0,0,2,2,13,13,903731,1956274,126.4094104,37.60084952
2017,2017061503,30,1,3,1,1,0,0,0,충북,청주시,1,0,0,0,0,1,2,0,0,12,12,999041,1849986,127.4892711,36.64778311
2017,2017061502,38,1,3,1,1,0,0,0,충남,천안시,1,6,6,0,0,0,0,0,0,12,12,967321,1866738,127.1336878,36.79823628
2017,2017061417,50,0,2,1,1,0,0,0,경남,거창군,2,18,20,0,0,0,0,7,7,13,13,1046601,1741239,128.0148927,35.66625179
2017,2017061417,55,0,2,1,3,1,1,0,충남,천안시,2,4,4,0,0,0,0,1,1,13,13,971424,1863153,127.1798137,36.76605162
2017,2017061416,25,0,2,1,1,0,0,0,제주,제주시,2,2,2,0,0,0,0,8,8,13,13,930112,1506207,126.7472028,33.54554078
2017,2017061415,37,0,2,1,3,2,0,0,경북,군위군,0,1,1,0,1,0,0,1,1,1,1,954112,1950024,128.5926029,36.14816356
2017,2017061412,40,0,2,1,2,0,1,0,경북,김천시,0,3,3,0,1,0,0,0,0,1,1,1064578,1792667,128.2176811,36.12888239
2017,2017061412,47,0,2,1,1,0,0,0,인천,부평구,1,11,11,0,0,1,2,4,4,12,12,933245,1943007,126.744936,37.48389253
2017,2017061410,0,0,2,1,1,0,0,0,대전,서구,1,9,9,0,0,0,0,0,0,12,12,988977,1816362,127.377159,36.34459355
2017,2017061406,40,0,2,1,1,0,0,0,경기,고양시,1,0,0,0,0,0,0,0,0,12,12,936835,1964204,126.7837115,37.67519023
2017,2017061323,20,1,1,1,2,0,1,0,경기,양주시,0,5,5,0,0,1,1,0,0,4,4,961499,1982431,127.0624238,37.8408373
2017,2017061323,27,1,1,1,3,2,0,0,대구,북구,0,5,5,0,0,0,0,0,0,0,0,1094576,1767186,128.5479733,35.89672512
2017,2017061322,0,1,1,1,1,0,0,0,충남,아산시,1,0,0,0,0,0,0,0,0,12,12,955357,1863629,126.9997646,36.76972183
2017,2017061320,11,1,1,1,1,0,0,0,경남,사천시,1,0,0,0,0,0,0,0,0,12,12,1055037,1675577,128.1036728,35.07378337
2017,2017061319,56,1,1,1,2,0,0,1,경기,이천시,0,1,1,0,0,0,0,0,0,1,1,1001989,1921504,127.5224406,37.29247868
